Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
2028-Jul-06 ,2.82E+06,-4.37E+06,-1.32E+06,3.51E+04,-3.85E+05,-1.08E+04,-4.31E+02,4.73E+03,1.32E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-07 ,2.76E+06,-4.31E+06,-1.33E+06,1.19E+05,-3.71E+05,-3.10E+03,-1.47E+03,4.57E+03,3.81E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-08 ,2.70E+06,-4.26E+06,-1.34E+06,1.98E+05,-3.40E+05,4.71E+03,-2.43E+03,4.18E+03,-5.79E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-09 ,2.64E+06,-4.20E+06,-1.36E+06,2.67E+05,-2.92E+05,1.23E+04,-3.28E+03,3.60E+03,-1.51E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-10 ,2.58E+06,-4.15E+06,-1.37E+06,3.23E+05,-2.31E+05,1.93E+04,-3.98E+03,2.85E+03,-2.37E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-11 ,2.53E+06,-4.10E+06,-1.38E+06,3.65E+05,-1.60E+05,2.54E+04,-4.49E+03,1.97E+03,-3.13E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-12 ,2.47E+06,-4.06E+06,-1.40E+06,3.90E+05,-8.16E+04,3.04E+04,-4.80E+03,1.00E+03,-3.74E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-13 ,2.41E+06,-4.01E+06,-1.41E+06,3.98E+05,3.30E+02,3.39E+04,-4.89E+03,-4.06E+00,-4.18E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-14 ,2.36E+06,-3.97E+06,-1.42E+06,3.87E+05,8.22E+04,3.60E+04,-4.76E+03,-1.01E+03,-4.42E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-15 ,2.30E+06,-3.93E+06,-1.43E+06,3.59E+05,1.60E+05,3.63E+04,-4.41E+03,-1.97E+03,-4.47E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-16 ,2.24E+06,-3.89E+06,-1.44E+06,3.13E+05,2.31E+05,3.50E+04,-3.85E+03,-2.84E+03,-4.30E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-17 ,2.19E+06,-3.86E+06,-1.45E+06,2.52E+05,2.90E+05,3.19E+04,-3.10E+03,-3.56E+03,-3.92E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-18 ,2.14E+06,-3.83E+06,-1.46E+06,1.78E+05,3.34E+05,2.72E+04,-2.20E+03,-4.11E+03,-3.34E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-19 ,2.08E+06,-3.80E+06,-1.47E+06,9.52E+04,3.61E+05,2.11E+04,-1.17E+03,-4.44E+03,-2.59E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-20 ,2.03E+06,-3.77E+06,-1.48E+06,6.57E+03,3.68E+05,1.38E+04,-8.08E+01,-4.53E+03,-1.69E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-21 ,1.98E+06,-3.74E+06,-1.49E+06,-8.25E+04,3.54E+05,5.66E+03,1.02E+03,-4.36E+03,-6.96E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-22 ,1.93E+06,-3.71E+06,-1.50E+06,-1.67E+05,3.19E+05,-2.77E+03,2.05E+03,-3.93E+03,3.41E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-23 ,1.89E+06,-3.69E+06,-1.51E+06,-2.41E+05,2.65E+05,-1.10E+04,2.96E+03,-3.25E+03,1.36E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-24 ,1.84E+06,-3.67E+06,-1.51E+06,-3.00E+05,1.94E+05,-1.86E+04,3.69E+03,-2.38E+03,2.29E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-25 ,1.79E+06,-3.65E+06,-1.52E+06,-3.40E+05,1.10E+05,-2.50E+04,4.18E+03,-1.36E+03,3.07E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-26 ,1.75E+06,-3.63E+06,-1.53E+06,-3.58E+05,2.05E+04,-2.98E+04,4.41E+03,-2.52E+02,3.66E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-27 ,1.70E+06,-3.62E+06,-1.53E+06,-3.55E+05,-7.06E+04,-3.27E+04,4.37E+03,8.68E+02,4.03E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-28 ,1.66E+06,-3.60E+06,-1.54E+06,-3.30E+05,-1.57E+05,-3.37E+04,4.06E+03,1.94E+03,4.15E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-29 ,1.62E+06,-3.59E+06,-1.54E+06,-2.86E+05,-2.35E+05,-3.27E+04,3.52E+03,2.89E+03,4.02E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-30 ,1.58E+06,-3.58E+06,-1.55E+06,-2.26E+05,-2.99E+05,-2.99E+04,2.78E+03,3.68E+03,3.67E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jul-31 ,1.54E+06,-3.56E+06,-1.55E+06,-1.53E+05,-3.47E+05,-2.54E+04,1.88E+03,4.27E+03,3.12E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-01 ,1.50E+06,-3.56E+06,-1.56E+06,-7.18E+04,-3.77E+05,-1.95E+04,8.83E+02,4.63E+03,2.40E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-02 ,1.47E+06,-3.55E+06,-1.56E+06,1.30E+04,-3.87E+05,-1.27E+04,-1.61E+02,4.76E+03,1.56E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-03 ,1.44E+06,-3.54E+06,-1.56E+06,9.74E+04,-3.79E+05,-5.24E+03,-1.20E+03,4.66E+03,6.44E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-04 ,1.40E+06,-3.53E+06,-1.57E+06,1.77E+05,-3.52E+05,2.50E+03,-2.18E+03,4.33E+03,-3.07E+01
